fecha,texto,emocion
2023-09-10,El tráfico me tiene al límite.,estrés
2021-08-30,Estoy irritado porque me criticaron sin razón.,enojo
2024-04-20,Mi jefe me hizo sentir resentido al confrontar a alguien.,enojo
2023-07-13,Tengo miedo de que fracase.,ansiedad
2022-02-13,El tráfico me tiene al límite.,estrés
2024-09-24,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2024-04-12,No soporto cuando rompieron mis pertenencias.,enojo
2024-08-22,Necesito organizarme mejor pero no tengo tiempo!,estrés
2023-01-21,Necesito pedir ayuda pero no tengo tiempo.,estrés
2020-06-06,Me siento nostálgico desde que mudaron lejos.,tristeza
2022-06-08,Tengo miedo de que todo salga mal.,ansiedad
2023-04-04,Un peso en el pecho cuando pienso en el futuro.,tristeza
2020-01-01,Compartí un momento de paz siempre me alegra.,felicidad
2021-01-31,Tengo miedo de que todo salga mal.,ansiedad
2022-08-03,Necesito un descanso pero no me escuchan.,estrés
2021-09-14,Una opresión en el pecho cuando escucho esa canción.,tristeza
2022-01-29,Qué optimista día para un logro personal.,felicidad
2022-06-19,No puedo dejar de pensar en me ignoraron en la reunión.,tristeza
2020-03-12,Mi vecino me hizo sentir resentido al hablar en público.,enojo
2021-05-08,El ruido constante me tiene al límite.,estrés
2021-01-01,El ruido constante me tiene al límite.,estrés
2020-05-27,Tengo miedo de que todo salga mal.,ansiedad
2021-06-20,Qué optimista día para un tiempo con mi familia.,felicidad
2020-02-17,Descubrí un tiempo con mi familia siempre me alegra.,felicidad
2022-03-20,Me siento nostálgico desde que perdí mi trabajo.,tristeza
2024-03-09,Estoy indignado porque rompieron mis pertenencias.,enojo
2021-04-02,Mi familiar me hizo sentir indignado al tomar decisiones.,enojo
2021-06-02,No soporto cuando rompieron mis pertenencias.,enojo
2023-03-11,El jefe exigente me tiene al límite.,estrés
2022-08-19,No puedo hablar en público sin sentir palpitaciones.,ansiedad
2021-01-12,Mi mente no deja de pensar en el próximo examen.,ansiedad
2022-01-08,Un peso en el pecho cuando recuerdo lo sucedido.,tristeza
2022-10-04,No puedo dejar de pensar en me criticaron sin razón.,tristeza
2024-01-02,Un vacío en el pecho cuando recuerdo lo sucedido.,tristeza
2021-07-28,Mi pareja me hizo sentir frustrado al tomar decisiones.,enojo
2024-12-04,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2022-04-21,Necesito pedir ayuda pero me falta energía.,estrés
2020-10-14,El tráfico me tiene al límite.,estrés
2023-10-26,Qué agradecido día para una caminata al aire libre.,felicidad
2021-10-19,Tengo miedo de que me juzguen.,ansiedad
2020-07-07,No puedo tomar decisiones sin sentir palpitaciones.,ansiedad
2022-01-22,Tengo miedo de que fracase.,ansiedad
2024-09-11,Tengo miedo de que todo salga mal.,ansiedad
2021-10-23,El tráfico me tiene al límite.,estrés
2024-05-12,Compartí una conversación significativa siempre me da paz.,felicidad
2022-12-22,Mi mente no deja de pensar en el próximo examen.,ansiedad
2022-06-05,Me siento desanimado desde que perdí mi trabajo.,tristeza
2024-12-28,Un dolor sordo en el pecho cuando recuerdo lo sucedido.,tristeza
2021-07-08,Un desconocido me hizo sentir irritado al confrontar a alguien.,enojo
2023-10-17,No puedo dejar de pensar en me ignoraron en la reunión.,tristeza
2020-10-22,Qué pleno día para un momento de paz.,felicidad
2022-02-25,No puedo hablar en público sin sentir mareos.,ansiedad
2024-09-04,Entre los estudios y las deudas no puedo relajarme.,estrés
2022-08-15,No soporto cuando me criticaron sin razón.,enojo
2020-12-12,Hoy experimenté un logro personal y me siento pleno.,felicidad
2020-02-14,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2020-06-10,No soporto cuando me criticaron sin razón.,enojo
2024-01-03,Me siento desolado desde que terminó nuestra relación.,tristeza
2024-01-18,Necesito un descanso pero me falta energía.,estrés
2021-09-20,No puedo tomar decisiones sin sentir palpitaciones.,ansiedad
2020-04-20,Mi mente no deja de pensar en la situación económica.,ansiedad
2021-04-26,No soporto cuando no cumplieron su promesa.,enojo
2022-03-19,Mi vecino me hizo sentir resentido al hablar en público.,enojo
2023-11-08,Me siento desanimado desde que terminó nuestra relación.,tristeza
2021-07-01,Qué eufórico día para un tiempo con mi familia.,felicidad
2022-06-28,Mi vecino me hizo sentir frustrado al hablar en público.,enojo
2021-04-28,Hoy logré un momento de paz y me siento pleno.,felicidad
2021-10-27,Un peso en el pecho cuando recuerdo lo sucedido.,tristeza
2023-06-20,Un vacío en el pecho cuando pienso en el futuro.,tristeza
2022-08-23,Mi pareja me hizo sentir frustrado al confrontar a alguien.,enojo
2023-10-28,Hoy experimenté un momento de paz y me siento pleno.,felicidad
2024-11-25,Un dolor sordo en el pecho cuando recuerdo lo sucedido.,tristeza
2024-04-07,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2024-08-25,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2020-12-15,Mi mente no deja de pensar en el próximo examen.,ansiedad
2023-05-21,No soporto cuando rompieron mis pertenencias.,enojo
2024-06-14,Tengo miedo de que pierda el control.,ansiedad
2020-01-07,No puedo dejar de pensar en me criticaron sin razón.,tristeza
2022-02-15,No soporto cuando no cumplieron su promesa.,enojo
2022-01-13,No puedo hablar en público sin sentir mareos.,ansiedad
2021-10-20,Estoy irritado porque rompieron mis pertenencias.,enojo
2024-03-05,Hoy logré una caminata al aire libre y me siento optimista.,felicidad
2020-10-23,El tráfico me tiene al límite.,estrés
2022-05-10,Entre el cuidado de los niños y las deudas no puedo concentrarme.,estrés
2020-04-02,Entre el trabajo y los quehaceres domésticos no puedo dormir bien.,estrés
2021-10-07,Mi mente no deja de pensar en el próximo examen.,ansiedad
2020-02-12,Mi mente no deja de pensar en el próximo examen.,ansiedad
2022-08-04,Hoy disfruté un momento de paz y me siento agradecido.,felicidad
2021-08-20,Compartí una conversación significativa siempre me da paz.,felicidad
2021-05-02,Estoy indignado porque me criticaron sin razón.,enojo
2020-12-05,El plazos ajustados me tiene al límite.,estrés
2020-09-16,No puedo confrontar a alguien sin sentir sudores fríos.,ansiedad
2022-05-02,Necesito pedir ayuda pero me falta energía.,estrés
2022-01-30,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2020-08-28,Logré un logro personal siempre me motiva.,felicidad
2022-01-29,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2024-03-07,Experimenté un tiempo con mi familia siempre me inspira.,felicidad
2022-11-19,Descubrí un tiempo con mi familia siempre me llena de energía.,felicidad
2021-06-24,El plazos ajustados me tiene al límite.,estrés
2024-08-18,No puedo hablar en público sin sentir sudores fríos.,ansiedad
2024-11-21,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2024-01-17,Me siento vacío desde que perdí mi trabajo.,tristeza
2022-04-16,No puedo confrontar a alguien sin sentir palpitaciones.,ansiedad
2021-06-25,No puedo dejar de pensar en me ignoraron en la reunión.,tristeza
2024-04-27,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2020-10-02,No soporto cuando me ignoraron en la reunión.,enojo
2023-06-24,No soporto cuando rompieron mis pertenencias.,enojo
2024-05-02,El ruido constante me tiene al límite.,estrés
2020-04-03,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2024-12-15,Estoy resentido porque no cumplieron su promesa.,enojo
2021-05-20,Un dolor sordo en el pecho cuando recuerdo lo sucedido.,tristeza
2021-01-14,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2024-02-12,Qué agradecido día para una conversación significativa.,felicidad
2024-05-26,Un dolor sordo en el pecho cuando escucho esa canción.,tristeza
2020-09-30,Un dolor sordo en el pecho cuando recuerdo lo sucedido.,tristeza
2023-08-16,Disfruté un momento de paz siempre me inspira.,felicidad
2020-06-27,No puedo confrontar a alguien sin sentir temblores.,ansiedad
2020-12-02,No puedo tomar decisiones sin sentir palpitaciones.,ansiedad
2021-06-27,Qué optimista día para un logro personal.,felicidad
2020-12-01,Me siento desolado desde que mudaron lejos.,tristeza
2022-06-19,Una opresión en el pecho cuando pienso en el futuro!,tristeza
2022-03-09,Necesito organizarme mejor pero no me escuchan.,estrés
2023-07-21,El jefe exigente me tiene al límite.,estrés
2024-01-06,Mi mente no deja de pensar en la situación económica.,ansiedad
2024-02-07,No soporto cuando me ignoraron en la reunión.,enojo
2022-06-17,Necesito pedir ayuda pero me falta energía.,estrés
2022-04-04,Mi familiar me hizo sentir irritado al hablar en público.,enojo
2022-07-09,Necesito un descanso pero no me escuchan.,estrés
2021-06-29,No puedo tomar decisiones sin sentir temblores.,ansiedad
2023-07-06,El plazos ajustados me tiene al límite.,estrés
2020-07-11,Qué eufórico día para un momento de paz.,felicidad
2023-04-26,Mi mente no deja de pensar en la situación económica.,ansiedad
2022-09-03,No puedo dejar de pensar en me ignoraron en la reunión.,tristeza
2023-02-13,Qué pleno día para una caminata al aire libre.,felicidad
2021-07-05,No soporto cuando rompieron mis pertenencias.,enojo
2024-07-31,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2023-01-30,Estoy exasperado porque me ignoraron en la reunión.,enojo
2023-10-06,Me siento vacío desde que mudaron lejos.,tristeza
2022-10-04,Entre el trabajo y las deudas no puedo dormir bien.,estrés
2020-04-11,Qué eufórico día para una conversación significativa...,felicidad
2022-10-15,No soporto cuando me ignoraron en la reunión!,enojo
2024-07-30,Descubrí una conversación significativa siempre me alegra.,felicidad
2020-02-21,Me siento desolado desde que terminó nuestra relación.,tristeza
2023-10-11,Mi familiar me hizo sentir irritado al tomar decisiones.,enojo
2020-02-01,No puedo confrontar a alguien sin sentir temblores.,ansiedad
2021-02-04,No puedo tomar decisiones sin sentir temblores.,ansiedad
2022-02-26,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2021-01-03,No puedo tomar decisiones sin sentir mareos.,ansiedad
2024-04-19,Qué agradecido día para un tiempo con mi familia.,felicidad
2024-10-19,No puedo confrontar a alguien sin sentir mareos.,ansiedad
2022-05-13,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2023-08-07,Un desconocido me hizo sentir exasperado al confrontar a alguien.,enojo
2021-06-09,Me siento desolado desde que perdí mi trabajo.,tristeza
2023-12-30,Tengo miedo de que pierda el control.,ansiedad
2022-06-27,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2024-03-26,Logré un momento de paz siempre me llena de energía.,felicidad
2023-01-21,Entre el trabajo y las deudas no puedo dormir bien.,estrés
2023-01-13,Necesito organizarme mejor pero me falta energía.,estrés
2022-11-30,Estoy irritado porque me criticaron sin razón.,enojo
2021-06-18,Qué optimista día para un momento de paz.,felicidad
2021-11-14,Tengo miedo de que pierda el control.,ansiedad
2021-07-08,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2021-09-01,Mi familiar me hizo sentir indignado al hablar en público.,enojo
2020-09-20,Qué entusiasmado día para una conversación significativa.,felicidad
2024-02-14,Mi mente no deja de pensar en la situación económica...,ansiedad
2021-08-06,Experimenté un momento de paz siempre me inspira.,felicidad
2024-08-30,Tengo miedo de que pierda el control.,ansiedad
2021-12-04,Mi mente no deja de pensar en el próximo examen.,ansiedad
2021-10-19,Mi jefe me hizo sentir resentido al confrontar a alguien.,enojo
2021-03-14,Hoy compartí una caminata al aire libre y me siento pleno.,felicidad
2021-02-06,Me siento abatido desde que terminó nuestra relación.,tristeza
2023-07-06,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2022-01-14,Tengo miedo de que me juzguen!,ansiedad
2022-11-19,Mi mente no deja de pensar en el próximo examen.,ansiedad
2022-10-29,Hoy disfruté un logro personal y me siento pleno.,felicidad
2024-01-20,Tengo miedo de que fracase.,ansiedad
2023-08-08,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2024-05-15,Qué entusiasmado día para un tiempo con mi familia.,felicidad
2020-04-05,No puedo dejar de pensar en me ignoraron en la reunión.,tristeza
2022-07-07,No puedo dejar de pensar en me ignoraron en la reunión.,tristeza
2022-03-22,Experimenté una conversación significativa siempre me llena de energía.,felicidad
2021-03-19,Mi vecino me hizo sentir irritado al confrontar a alguien.,enojo
2024-11-19,Compartí un momento de paz siempre me alegra.,felicidad
2024-06-11,Descubrí un momento de paz siempre me alegra.,felicidad
2024-03-31,No puedo hablar en público sin sentir mareos.,ansiedad
2022-05-25,Necesito un descanso pero me falta energía.,estrés
2024-07-21,No soporto cuando me ignoraron en la reunión.,enojo
2020-03-05,Qué pleno día para una caminata al aire libre.,felicidad
2023-09-14,Qué entusiasmado día para un tiempo con mi familia.,felicidad
2021-12-10,Estoy exasperado porque rompieron mis pertenencias.,enojo
2024-06-15,El jefe exigente me tiene al límite.,estrés
2020-08-02,Entre los estudios y las deudas no puedo priorizar.,estrés
2021-04-21,No puedo dejar de pensar en me criticaron sin razón.,tristeza
2024-02-24,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2023-10-17,Mi mente no deja de pensar en el próximo examen.,ansiedad
2020-06-01,El tráfico me tiene al límite.,estrés
2022-06-10,No soporto cuando me ignoraron en la reunión.,enojo
2021-12-30,Qué pleno día para una caminata al aire libre.,felicidad
2024-07-30,Un peso en el pecho cuando recuerdo lo sucedido.,tristeza
2022-01-27,El tráfico me tiene al límite.,estrés
2024-05-04,No puedo confrontar a alguien sin sentir temblores.,ansiedad
2023-03-04,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2022-03-27,Mi mente no deja de pensar en la situación económica.,ansiedad
2023-04-09,Necesito organizarme mejor pero me falta energía.,estrés
2022-04-27,Me siento desanimado desde que perdí mi trabajo.,tristeza
2024-02-02,No soporto cuando me ignoraron en la reunión.,enojo
2024-06-05,No puedo confrontar a alguien sin sentir temblores!,ansiedad
2021-04-13,Tengo miedo de que fracase.,ansiedad
2020-06-22,Hoy logré un momento de paz y me siento agradecido.,felicidad
2021-05-15,El tráfico me tiene al límite.,estrés
2022-02-24,Compartí un momento de paz siempre me motiva.,felicidad
2021-01-13,Estoy indignado porque rompieron mis pertenencias.,enojo
2022-09-02,Estoy exasperado porque me ignoraron en la reunión.,enojo
2021-10-30,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2020-04-24,Mi mente no deja de pensar en el próximo examen.,ansiedad
2023-09-10,Me siento desolado desde que mudaron lejos.,tristeza
2024-05-10,El ruido constante me tiene al límite.,estrés
2023-10-16,Un desconocido me hizo sentir indignado al confrontar a alguien.,enojo
2020-09-03,Mi mente no deja de pensar en la situación económica.,ansiedad
2021-05-01,No puedo hablar en público sin sentir temblores.,ansiedad
2024-01-18,Hoy descubrí un momento de paz y me siento optimista.,felicidad
2020-01-18,No puedo hablar en público sin sentir mareos.,ansiedad
2020-06-09,Mi mente no deja de pensar en la situación económica.,ansiedad
2024-12-11,No puedo tomar decisiones sin sentir palpitaciones.,ansiedad
2021-07-31,El plazos ajustados me tiene al límite.,estrés
2021-06-01,No soporto cuando me criticaron sin razón.,enojo
2020-11-03,No puedo confrontar a alguien sin sentir palpitaciones.,ansiedad
2020-06-09,Compartí una conversación significativa siempre me da paz...,felicidad
2024-03-09,No soporto cuando no cumplieron su promesa.,enojo
2020-03-28,Necesito un descanso pero me falta energía.,estrés
2020-07-01,Mi jefe me hizo sentir frustrado al confrontar a alguien.,enojo
2023-08-14,No soporto cuando me criticaron sin razón.,enojo
2023-02-14,Qué agradecido día para un tiempo con mi familia.,felicidad
2024-05-25,Tengo miedo de que me juzguen.,ansiedad
2021-10-11,No puedo dejar de pensar en me ignoraron en la reunión.,tristeza
2023-02-08,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2024-06-10,Qué eufórico día para una caminata al aire libre.,felicidad
2021-11-08,No puedo tomar decisiones sin sentir sudores fríos.,ansiedad
2024-03-15,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2023-02-01,No puedo tomar decisiones sin sentir sudores fríos.,ansiedad
2024-01-22,Hoy experimenté un logro personal y me siento agradecido.,felicidad
2021-06-30,Entre los estudios y el proyecto final no puedo relajarme.,estrés
2022-08-04,Un dolor sordo en el pecho cuando pienso en el futuro.,tristeza
2022-03-10,Qué agradecido día para una conversación significativa.,felicidad
2023-04-06,Me siento desanimado desde que terminó nuestra relación.,tristeza
2023-03-26,Entre el trabajo y las deudas no puedo concentrarme.,estrés
2021-06-18,Compartí un logro personal siempre me da paz.,felicidad
2023-03-03,Tengo miedo de que me juzguen.,ansiedad
2022-10-14,Un desconocido me hizo sentir exasperado al tomar decisiones.,enojo
2022-02-07,El ruido constante me tiene al límite.,estrés
2023-05-11,Mi jefe me hizo sentir exasperado al tomar decisiones.,enojo
2021-08-30,Necesito un descanso pero me falta energía.,estrés
2022-12-17,Descubrí una conversación significativa siempre me inspira.,felicidad
2021-04-07,Estoy indignado porque me criticaron sin razón.,enojo
2021-12-25,Necesito un descanso pero no tengo tiempo.,estrés
2022-03-11,Estoy resentido porque me ignoraron en la reunión.,enojo
2024-10-01,Disfruté una caminata al aire libre siempre me inspira.,felicidad
2020-03-08,Tengo miedo de que fracase.,ansiedad
2024-10-16,No puedo dejar de pensar en no cumplieron su promesa!,tristeza
2024-06-04,No puedo dejar de pensar en rompieron mis pertenencias.,tristeza
2021-08-01,Experimenté un tiempo con mi familia siempre me alegra.,felicidad
2020-01-07,Necesito organizarme mejor pero no me escuchan.,estrés
2024-08-01,No puedo tomar decisiones sin sentir sudores fríos.,ansiedad
2021-02-07,El plazos ajustados me tiene al límite.,estrés
2020-09-02,Entre los estudios y las deudas no puedo concentrarme.,estrés
2021-07-11,Estoy indignado porque me ignoraron en la reunión.,enojo
2023-02-03,Un peso en el pecho cuando escucho esa canción.,tristeza
2020-03-28,Mi pareja me hizo sentir resentido al confrontar a alguien.,enojo
2022-11-26,Me siento vacío desde que mudaron lejos.,tristeza
2020-09-26,No puedo tomar decisiones sin sentir palpitaciones.,ansiedad
2024-04-17,No puedo hablar en público sin sentir palpitaciones...,ansiedad
2024-03-17,Qué pleno día para una conversación significativa.,felicidad
2023-11-29,Entre el trabajo y las deudas no puedo relajarme.,estrés
2022-05-08,Hoy disfruté un tiempo con mi familia y me siento optimista.,felicidad
2022-02-10,Qué entusiasmado día para un logro personal!,felicidad
2023-11-18,Estoy indignado porque me criticaron sin razón.,enojo
2021-05-30,Un desconocido me hizo sentir indignado al confrontar a alguien.,enojo
2020-11-11,Qué pleno día para un logro personal...,felicidad
2024-02-24,Descubrí una caminata al aire libre siempre me inspira!,felicidad
2021-06-02,El jefe exigente me tiene al límite.,estrés
2021-12-24,Tengo miedo de que fracase.,ansiedad
2021-10-27,Entre el cuidado de los niños y el proyecto final no puedo relajarme.,estrés
2020-03-21,Entre los estudios y las deudas no puedo concentrarme.,estrés
2020-10-21,Tengo miedo de que pierda el control.,ansiedad
2021-10-23,Mi vecino me hizo sentir frustrado al tomar decisiones.,enojo
2022-12-22,Una opresión en el pecho cuando pienso en el futuro.,tristeza
2020-02-15,Estoy exasperado porque no cumplieron su promesa.,enojo
2021-10-30,Un vacío en el pecho cuando escucho esa canción.,tristeza
2021-09-10,Estoy exasperado porque me criticaron sin razón.,enojo
2021-08-01,Necesito delegar tareas pero me falta energía.,estrés
2021-06-13,Me siento nostálgico desde que perdí mi trabajo.,tristeza
2022-01-26,No soporto cuando me criticaron sin razón.,enojo
2022-08-17,Entre los estudios y el proyecto final no puedo priorizar.,estrés
2024-02-18,Mi vecino me hizo sentir resentido al tomar decisiones.,enojo
2022-08-10,Me siento nostálgico desde que mudaron lejos.,tristeza
2024-03-01,Hoy logré un tiempo con mi familia y me siento agradecido.,felicidad
2022-06-01,Logré un tiempo con mi familia siempre me motiva.,felicidad
2021-06-13,Hoy logré un momento de paz y me siento optimista.,felicidad
2021-08-07,No puedo confrontar a alguien sin sentir mareos.,ansiedad
2022-08-31,El plazos ajustados me tiene al límite.,estrés
2024-02-06,El tráfico me tiene al límite.,estrés
2022-12-03,El plazos ajustados me tiene al límite.,estrés
2021-03-01,Una opresión en el pecho cuando pienso en el futuro.,tristeza
2020-03-01,Hoy logré un momento de paz y me siento pleno.,felicidad
2023-07-27,Estoy indignado porque me criticaron sin razón.,enojo
2020-08-17,Necesito delegar tareas pero me falta energía.,estrés
2021-11-28,No soporto cuando rompieron mis pertenencias.,enojo
2024-10-20,Logré un tiempo con mi familia siempre me llena de energía.,felicidad
2020-09-20,Necesito organizarme mejor pero no tengo tiempo.,estrés
2021-04-26,Logré una caminata al aire libre siempre me da paz.,felicidad
2022-07-16,Mi mente no deja de pensar en el próximo examen.,ansiedad
2020-07-04,Estoy exasperado porque rompieron mis pertenencias.,enojo
2020-01-29,No puedo confrontar a alguien sin sentir temblores!,ansiedad
2023-01-17,Entre el cuidado de los niños y las deudas no puedo relajarme.,estrés
2021-06-13,Entre los estudios y el proyecto final no puedo relajarme.,estrés
2023-04-07,Tengo miedo de que fracase.,ansiedad
2020-11-17,Logré un tiempo con mi familia siempre me alegra.,felicidad
2021-02-13,Compartí un momento de paz siempre me alegra.,felicidad
2021-04-12,Hoy experimenté una caminata al aire libre y me siento entusiasmado.,felicidad
2022-05-14,Qué entusiasmado día para una conversación significativa.,felicidad
2022-04-30,Tengo miedo de que pierda el control.,ansiedad
2023-03-10,Un vacío en el pecho cuando pienso en el futuro.,tristeza
2021-06-13,Tengo miedo de que fracase.,ansiedad
2024-05-12,Una opresión en el pecho cuando pienso en el futuro.,tristeza
2022-06-07,Mi mente no deja de pensar en la situación económica.,ansiedad
2024-06-26,Necesito un descanso pero me falta energía.,estrés
2023-01-27,Mi mente no deja de pensar en el próximo examen.,ansiedad
2021-08-10,Hoy experimenté una caminata al aire libre y me siento pleno.,felicidad
2023-10-27,Hoy disfruté una conversación significativa y me siento entusiasmado.,felicidad
2021-04-14,No soporto cuando rompieron mis pertenencias.,enojo
2023-07-31,Un vacío en el pecho cuando escucho esa canción.,tristeza
2022-03-28,Entre los estudios y las deudas no puedo relajarme.,estrés
2021-10-05,No puedo dejar de pensar en no cumplieron su promesa.,tristeza
2024-02-12,Tengo miedo de que todo salga mal.,ansiedad
2021-09-15,No soporto cuando me ignoraron en la reunión.,enojo
2020-05-21,Tengo miedo de que todo salga mal.,ansiedad
2022-04-16,Me siento abatido desde que terminó nuestra relación.,tristeza
2022-05-05,Hoy descubrí un momento de paz y me siento optimista.,felicidad
2022-12-17,Estoy frustrado porque rompieron mis pertenencias.,enojo
2020-04-15,Necesito pedir ayuda pero no tengo tiempo.,estrés
2020-07-15,No puedo tomar decisiones sin sentir palpitaciones.,ansiedad
2023-03-05,Estoy resentido porque rompieron mis pertenencias.,enojo
2024-06-04,Entre el cuidado de los niños y las deudas no puedo priorizar.,estrés
2022-07-11,Me siento desolado desde que mudaron lejos.,tristeza
2024-05-06,Me siento nostálgico desde que perdí mi trabajo.,tristeza
2021-06-08,Hoy logré un momento de paz y me siento eufórico...,felicidad
2020-10-05,Mi mente no deja de pensar en la situación económica.,ansiedad
2023-08-02,Necesito un descanso pero no me escuchan.,estrés
2023-05-11,Mi pareja me hizo sentir resentido al hablar en público.,enojo
2020-12-02,Una opresión en el pecho cuando recuerdo lo sucedido.,tristeza
2024-05-17,Qué agradecido día para un tiempo con mi familia!,felicidad
2021-04-13,Entre el trabajo y las deudas no puedo priorizar.,estrés
2024-03-12,Mi pareja me hizo sentir resentido al tomar decisiones.,enojo
2023-09-02,No soporto cuando rompieron mis pertenencias.,enojo
2024-07-12,Estoy exasperado porque me ignoraron en la reunión.,enojo
2021-02-20,Qué entusiasmado día para un momento de paz.,felicidad
2021-07-26,Entre el cuidado de los niños y los quehaceres domésticos no puedo concentrarme.,estrés
2023-09-18,Me siento nostálgico desde que terminó nuestra relación.,tristeza
2022-11-25,Qué optimista día para un logro personal.,felicidad
2021-05-06,Qué agradecido día para un logro personal.,felicidad
2023-04-19,Un peso en el pecho cuando recuerdo lo sucedido.,tristeza
2021-09-04,No soporto cuando rompieron mis pertenencias.,enojo
2023-09-20,No soporto cuando me ignoraron en la reunión.,enojo
2024-01-15,Me siento nostálgico desde que mudaron lejos.,tristeza
2020-04-03,Mi mente no deja de pensar en lo que dijeron de mí.,ansiedad
2024-09-25,No puedo tomar decisiones sin sentir sudores fríos.,ansiedad
